Depth (m),Facies Code,Lithology
2042.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2042.5,UNKNOWN,Sandy F-C Siltstones
2042.6,UNKNOWN,Sandy F-C Siltstones
2042.7,UNKNOWN,Sandy F-C Siltstones
2042.8,UNKNOWN,Sandy F-C Siltstones
2042.9,UNKNOWN,Sandy F-C Siltstones
2043.0,UNKNOWN,Sandy F-C Siltstones
2043.1,UNKNOWN,Sandy F-C Siltstones
2043.2,UNKNOWN,Sandy F-C Siltstones
2043.3,UNKNOWN,Sandy F-C Siltstones
2043.4,UNKNOWN,Sandy F-C Siltstones
2043.5,UNKNOWN,Sandy F-C Siltstones
2043.6,UNKNOWN,Sandy F-C Siltstones
2043.7,UNKNOWN,Sandy F-C Siltstones
2043.8,UNKNOWN,Sandy F-C Siltstones
2043.9,UNKNOWN,Sandy F-C Siltstones
2044.0,UNKNOWN,Sandy F-C Siltstones
2044.1,UNKNOWN,Sandy F-C Siltstones
2044.2,UNKNOWN,Sandy F-C Siltstones
2044.3,UNKNOWN,Sandy F-C Siltstones
2044.4,UNKNOWN,Sandy F-C Siltstones
2044.5,UNKNOWN,Sandy F-C Siltstones
2044.6,UNKNOWN,Sandy F-C Siltstones
2044.7,UNKNOWN,Sandy F-C Siltstones
2044.8,UNKNOWN,Sandy F-C Siltstones
2044.9,UNKNOWN,Sandy F-C Siltstones
2045.0,UNKNOWN,Sandy F-C Siltstones
2045.1,UNKNOWN,Sandy F-C Siltstones
2045.2,UNKNOWN,Sandy F-C Siltstones
2045.3,UNKNOWN,Blank Space
2045.4,UNKNOWN,Blank Space
2045.5,UNKNOWN,Blank Space
2045.6,UNKNOWN,Blank Space
2045.7,UNKNOWN,Blank Space
2045.8,UNKNOWN,Blank Space
2045.9,UNKNOWN,Blank Space
2046.0,UNKNOWN,Blank Space
2046.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2046.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2047.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2047.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2047.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2047.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2047.4,UNKNOWN,Sandy F-C Siltstones
2047.5,UNKNOWN,Sandy F-C Siltstones
2047.6,UNKNOWN,Sandy F-C Siltstones
2047.7,UNKNOWN,Sandy F-C Siltstones
2047.8,UNKNOWN,Sandy F-C Siltstones
2047.9,UNKNOWN,Sandy F-C Siltstones
2048.0,UNKNOWN,Sandy F-C Siltstones
2048.1,UNKNOWN,Sandy F-C Siltstones
2048.2,UNKNOWN,Sandy F-C Siltstones
2048.3,UNKNOWN,Sandy F-C Siltstones
2048.4,UNKNOWN,Sandy F-C Siltstones
2048.5,UNKNOWN,Sandy F-C Siltstones
2048.6,UNKNOWN,Sandy F-C Siltstones
2048.7,UNKNOWN,Sandy F-C Siltstones
2048.8,UNKNOWN,Sandy F-C Siltstones
2048.9,UNKNOWN,Sandy F-C Siltstones
2049.0,UNKNOWN,Sandy F-C Siltstones
2049.1,UNKNOWN,Sandy F-C Siltstones
2049.2,UNKNOWN,Sandy F-C Siltstones
2049.3,UNKNOWN,Sandy F-C Siltstones
2049.4,UNKNOWN,Sandy F-C Siltstones
2049.5,UNKNOWN,Sandy F-C Siltstones
2049.6,2,Bituminous F-M Siltstone
2049.7,2,Bituminous F-M Siltstone
2049.8,2,Bituminous F-M Siltstone
2049.9,2,Bituminous F-M Siltstone
2050.0,2,Bituminous F-M Siltstone
2050.1,2,Bituminous F-M Siltstone
2050.2,2,Bituminous F-M Siltstone
2050.3,2,Bituminous F-M Siltstone
2050.4,2,Bituminous F-M Siltstone
2050.5,2,Bituminous F-M Siltstone
2050.6,2,Bituminous F-M Siltstone
2050.7,2,Bituminous F-M Siltstone
2050.8,2,Bituminous F-M Siltstone
2050.9,2,Bituminous F-M Siltstone
2051.0,2,Bituminous F-M Siltstone
2051.1,2,Bituminous F-M Siltstone
2051.2,2,Bituminous F-M Siltstone
2051.3,2,Bituminous F-M Siltstone
2051.4,1,Bituminous F-C Siltstone
2051.5,UNKNOWN,F-C Slightly dolomitic Siltstones
2051.6,UNKNOWN,F-C Slightly dolomitic Siltstones
2051.7,UNKNOWN,F-C Slightly dolomitic Siltstones
2051.8,UNKNOWN,F-C Slightly dolomitic Siltstones
2051.9,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.0,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.1,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.2,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.3,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.4,UNKNOWN,F-C Slightly dolomitic Siltstones
2052.5,UNKNOWN,Sandy F-C Siltstones
2052.6,UNKNOWN,Sandy F-C Siltstones
2052.7,UNKNOWN,Sandy F-C Siltstones
2052.8,UNKNOWN,Sandy F-C Siltstones
2052.9,UNKNOWN,Sandy F-C Siltstones
2053.0,UNKNOWN,Sandy F-C Siltstones
2053.1,UNKNOWN,Sandy F-C Siltstones
2053.2,UNKNOWN,Sandy F-C Siltstones
2053.3,UNKNOWN,Sandy F-C Siltstones
2053.4,UNKNOWN,Sandy F-C Siltstones
2053.5,UNKNOWN,Sandy F-C Siltstones
2053.6,UNKNOWN,Sandy F-C Siltstones
2053.7,UNKNOWN,Sandy F-C Siltstones
2053.8,UNKNOWN,Sandy F-C Siltstones
2053.9,UNKNOWN,Sandy F-C Siltstones
2054.0,UNKNOWN,Sandy F-C Siltstones
2054.1,UNKNOWN,Sandy F-C Siltstones
2054.2,UNKNOWN,Sandy F-C Siltstones
2054.3,UNKNOWN,Sandy F-C Siltstones
2054.4,UNKNOWN,Sandy F-C Siltstones
2054.5,UNKNOWN,Sandy F-C Siltstones
2054.6,UNKNOWN,Sandy F-C Siltstones
