Depth (m),Facies Code,Lithology
2181.0,2,Bituminous F-M Siltstone
2181.1,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.2,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.3,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.4,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.5,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.6,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.7,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.8,0,Sandy F-C Siltstone to Silty VF Sandstone
2181.9,1,Bituminous F-C Siltstone
2182.0,1,Bituminous F-C Siltstone
2182.1,1,Bituminous F-C Siltstone
2182.2,1,Bituminous F-C Siltstone
2182.3,1,Bituminous F-C Siltstone
2182.4,1,Bituminous F-C Siltstone
2182.5,1,Bituminous F-C Siltstone
2182.6,1,Bituminous F-C Siltstone
2182.7,1,Bituminous F-C Siltstone
2182.8,1,Bituminous F-C Siltstone
2182.9,1,Bituminous F-C Siltstone
2183.0,1,Bituminous F-C Siltstone
2183.1,1,Bituminous F-C Siltstone
2183.2,1,Bituminous F-C Siltstone
2183.3,1,Bituminous F-C Siltstone
2183.4,1,Bituminous F-C Siltstone
2183.5,1,Bituminous F-C Siltstone
2183.6,1,Bituminous F-C Siltstone
2183.7,2,Bituminous F-M Siltstone
2183.8,2,Bituminous F-M Siltstone
2183.9,2,Bituminous F-M Siltstone
2184.0,2,Bituminous F-M Siltstone
2184.1,4,Laminated Bedded Resedimented Bioclasts
2184.2,4,Laminated Bedded Resedimented Bioclasts
2184.3,4,Laminated Bedded Resedimented Bioclasts
2184.4,2,Bituminous F-M Siltstone
2184.5,2,Bituminous F-M Siltstone
2184.6,2,Bituminous F-M Siltstone
2184.7,2,Bituminous F-M Siltstone
2184.8,2,Bituminous F-M Siltstone
2184.9,2,Bituminous F-M Siltstone
2185.0,2,Bituminous F-M Siltstone
2185.1,2,Bituminous F-M Siltstone
2185.2,2,Bituminous F-M Siltstone
2185.3,2,Bituminous F-M Siltstone
2185.4,2,Bituminous F-M Siltstone
2185.5,2,Bituminous F-M Siltstone
2185.6,2,Bituminous F-M Siltstone
2185.7,2,Bituminous F-M Siltstone
2185.8,2,Bituminous F-M Siltstone
2185.9,2,Bituminous F-M Siltstone
2186.0,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.1,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.2,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.3,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.4,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.5,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.6,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.7,0,Sandy F-C Siltstone to Silty VF Sandstone
