From (m),To (m),Color Code,Lithofacies,Contact to next Surface
1991.799,1992.020,tan,Bituminous F-M Siltstone,smooth
1992.031,1992.220,sandybrown,Bituminous F-C Siltstone,smooth
1992.231,1992.421,tan,Bituminous F-M Siltstone,smooth
1992.431,1992.579,sandybrown,Bituminous F-C Siltstone,smooth
1992.590,1992.758,tan,Bituminous F-M Siltstone,smooth
1992.769,1993.001,sandybrown,Bituminous F-C Siltstone,smooth
1993.012,1993.940,tan,Bituminous F-M Siltstone,rough
1993.950,1994.182,sandybrown,Bituminous F-C Siltstone,rough
1994.193,1994.362,tan,Bituminous F-M Siltstone,rough
1994.372,1994.499,sandybrown,Bituminous F-C Siltstone,rough
1994.509,1994.720,tan,Bituminous F-M Siltstone,rough
1994.731,1994.953,sandybrown,Bituminous F-C Siltstone,rough
1994.963,1995.174,tan,Bituminous F-M Siltstone,smooth
1995.185,1995.396,plum,Calcareous - Calcispheric Dolosiltstone,smooth
1995.406,1997.041,tan,Bituminous F-M Siltstone,smooth
1997.052,1997.347,sandybrown,Bituminous F-C Siltstone,smooth
1997.358,1997.537,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
1997.547,1997.748,sandybrown,Bituminous F-C Siltstone,smooth
1997.758,1997.938,tan,Bituminous F-M Siltstone,smooth
1997.948,1998.096,sandybrown,Bituminous F-C Siltstone,smooth
1998.107,1998.286,tan,Bituminous F-M Siltstone,smooth
1998.296,1998.434,sandybrown,Bituminous F-C Siltstone,smooth
1998.444,1998.718,tan,Bituminous F-M Siltstone,smooth
1998.729,1998.887,sandybrown,Bituminous F-C Siltstone,smooth
1998.898,1999.151,tan,Bituminous F-M Siltstone,smooth
1999.161,1999.320,sandybrown,Bituminous F-C Siltstone,smooth
1999.330,1999.562,tan,Bituminous F-M Siltstone,smooth
1999.573,1999.742,sandybrown,Bituminous F-C Siltstone,smooth
1999.752,2000.332,tan,Bituminous F-M Siltstone,smooth
2000.343,2000.501,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2000.512,2001.682,tan,Bituminous F-M Siltstone,smooth
2001.693,2001.957,sandybrown,Bituminous F-C Siltstone,smooth
2001.967,2002.104,tan,Bituminous F-M Siltstone,smooth
2002.115,2002.305,sandybrown,Bituminous F-C Siltstone,smooth
2002.315,2005.628,tan,Bituminous F-M Siltstone,smooth
2005.638,2005.754,sandybrown,Bituminous F-C Siltstone,smooth
2005.765,2007.695,tan,Bituminous F-M Siltstone,smooth
2007.706,2008.697,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,smooth
2008.708,2011.166,tan,Bituminous F-M Siltstone,smooth
2011.176,2011.334,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2011.345,2011.482,tan,Bituminous F-M Siltstone,smooth
2011.493,2011.820,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2011.830,2012.621,tan,Bituminous F-M Siltstone,smooth
2012.632,2013.043,sandybrown,Bituminous F-C Siltstone,smooth
2013.054,2013.223,tan,Bituminous F-M Siltstone,smooth
2013.233,2013.402,sandybrown,Bituminous F-C Siltstone,smooth
2013.412,2013.602,tan,Bituminous F-M Siltstone,smooth
2013.613,2013.771,sandybrown,Bituminous F-C Siltstone,rough
2013.782,2014.109,tan,Bituminous F-M Siltstone,rough
2014.119,2014.320,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,smooth
2014.330,2014.984,tan,Bituminous F-M Siltstone,rough
2014.995,2015.575,plum,Calcareous - Calcispheric Dolosiltstone,rough
2015.585,2016.313,tan,Bituminous F-M Siltstone,smooth
2016.324,2016.461,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2016.472,2017.484,tan,Bituminous F-M Siltstone,smooth
2017.495,2017.780,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,rough
2017.790,2018.117,tan,Bituminous F-M Siltstone,smooth
2018.128,2018.339,sandybrown,Bituminous F-C Siltstone,rough
2018.349,2019.393,tan,Bituminous F-M Siltstone,smooth
2019.404,2019.805,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2019.815,2023.729,tan,Bituminous F-M Siltstone,rough
